trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-59.67846699515386,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-150.14972775791344,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",1
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,19,-21.690423687641385,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-30.447783161051795,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",35,0,-198.89023070158342,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",30,0,-67.66320041640842,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-206.39374681355704,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-221.16612466697833,"{0: 16, 1: 6, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-108.9864216513978,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-128.59163818710093,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-65.43713171885425,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-333.26761520250244,"{0: 12, 1: 4, 2: 5, 3: 4, 4: 5}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-84.87527080806386,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-91.08273853021201,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-57.945187805546446,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,14,-12.396656123847666,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-47.71384724303155,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-82.09509025456798,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-68.59911288728836,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",30,0,-188.21813334498214,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",30,0,-134.81133074999488,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-68.74493694835964,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,9,-5.519871055977586,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-124.797866861571,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,-132.949754005101,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-201.5373958554845,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-197.71795702439135,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-172.89031924090452,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-204.069833024482,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-162.50072131652195,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-204.57176859051143,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",30,0,-100.59071902801122,"{0: 21, 1: 0, 2: 6, 3: 3, 4: 0}",0
