trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",35,0,-103.9779699938797,"{0: 22, 1: 0, 2: 13, 3: 0, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-69.62279426815063,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,0,-113.84692126973943,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-134.30575680773998,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-46.1888236921588,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-49.96440351534166,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-94.3722577775349,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-44.381049968550165,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-23.927330555674775,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-79.09595395790163,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-128.95909892879914,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-113.03376323890394,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-64.54919934247408,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",30,0,-131.91740417966034,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-106.59044576357648,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-138.36226357689358,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-171.48858488832337,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-77.83515233982068,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-155.78545992427445,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",30,0,-123.93691362313369,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-72.69844736602312,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-149.7929023872638,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-176.76609192789098,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-61.01299635947239,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",35,0,-57.71274959928168,"{0: 25, 1: 2, 2: 8, 3: 0, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-76.47123744261982,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-65.86019771427712,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-31.154424543524947,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,4,-60.92144109816568,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 0}",1
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,0,-254.15605015325656,"{0: 9, 1: 5, 2: 6, 3: 1, 4: 4}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,10,-64.47359204700969,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-90.8114199212406,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-59.85996087216456,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,18,-36.68556744626344,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",25,0,-74.49581671855906,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",30,0,-111.71349014583211,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",25,0,-142.52017927223474,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",35,0,-229.5129721842084,"{0: 18, 1: 4, 2: 9, 3: 1, 4: 3}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",20,0,-115.1019106769188,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",30,0,-42.290744764893375,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
